"met_object_id","link_resource","exhibition_title","venue_name","city_name","exhibition_date_display","start_date","end_date","catalogue_reference","display_order"
"466287","http://www.metmuseum.org/art/collection/search/466287","Nicolas Gerhaert von Leiden","Liebieghaus Skulpturen Sammlung","Frankfurt","October 27, 2011–March 4, 2012","2011-10-27","2012-03-04","","3"
"466287","http://www.metmuseum.org/art/collection/search/466287","Nicolas Gerhaert von Leiden","Fondation de l'Œuvre Notre-Dame, Musée de l'Oeuvre Notre-Dame, Strasbourg","","March 30, 2012–July 8, 2012","2012-03-30","2012-07-08","","4"
"505722","http://www.metmuseum.org/art/collection/search/505722","Portrait de M. Aublet, jouant de la guitare, vu jusqu'aux genoux","Salon de la Correspondance","Paris","June 7, 1782","1782-06-07","1782-06-07","no. 5","1"
"505722","http://www.metmuseum.org/art/collection/search/505722","","Salon de la Correspondance","Paris","June 13, 1782","1782-06-13","1782-06-13","no. 3","2"
"505722","http://www.metmuseum.org/art/collection/search/505722","Towards a New Taste: Summer Exhibition of Old Master Paintings","Heim Gallery","London","May 24–July 25, 1989","1989-05-24","1989-07-25","no. 15","3"
"470310","http://www.metmuseum.org/art/collection/search/470310","Making The Met, 1870–2020","The Metropolitan Museum of Art","New York","August 29, 2020–January 3, 2021","2020-08-29","2021-01-03","","1"
"318622","http://www.metmuseum.org/art/collection/search/318622","Art of Oceania, Africa and the Americas from The Museum of Primitive Art","The Metropolitan Museum of Art","","May 10–August 17, 1969","1969-05-10","1969-08-17","","1"
"318622","http://www.metmuseum.org/art/collection/search/318622","Sculpture of Black Africa: Nigeria & Cameroon","The Metropolitan Museum of Art","","June 23, 1971–March 19, 1972","1971-06-23","1972-03-19","","2"
"318622","http://www.metmuseum.org/art/collection/search/318622","Faces","Museum of Primitive Art","","February 14, 1973–September 9, 1973","1973-02-14","1973-09-09","","3"
"318622","http://www.metmuseum.org/art/collection/search/318622","African Ivories","The Metropolitan Museum of Art","","June 26–December 30, 1984","1984-06-26","1984-12-30","","4"
"318622","http://www.metmuseum.org/art/collection/search/318622","Circa 1492: Art in the Age of Exploration","National Gallery of Art, Washington D.C","","October 12, 1991–January 12, 1992","1991-10-12","1992-01-12","","5"
"318622","http://www.metmuseum.org/art/collection/search/318622","Heroic Africans: Legendary Leaders, Iconic Sculptures","The Metropolitan Museum of Art","New York","September 19, 2011–January 29, 2012","2011-09-19","2012-01-29","","6"
"318622","http://www.metmuseum.org/art/collection/search/318622","Heroic Africans: Legendary Leaders, Iconic Sculptures","Museum Rietberg","Zürich","February 26–June 3, 2012","2012-02-26","2012-06-03","","7"
"501802","http://www.metmuseum.org/art/collection/search/501802","Musical Instruments Gallery Installation, 1971","The Metropolitan Museum of Art","","1971","","","","1"
"501802","http://www.metmuseum.org/art/collection/search/501802","Encounter of East and West - Revival of the Arts in World Exposition","Tokyo National Museum","","2004","","","","2"
"501802","http://www.metmuseum.org/art/collection/search/501802","Encounter of East and West - Revival of the Arts in World Exposition","Osaka Municipal Museum of Art","","2004","","","","3"
"501802","http://www.metmuseum.org/art/collection/search/501802","Encounter of East and West - Revival of the Arts in World Exposition","Nagoya City Museum","","2005","","","","4"
"501802","http://www.metmuseum.org/art/collection/search/501802","Discovering Japanese Art: American Collectors and the Met","The Metropolitan Museum of Art","New York","February 14 - September 27, 2015","2015-02-14","2015-09-27","","5"
"316393","http://www.metmuseum.org/art/collection/search/316393","Royal Art of Benin from the Perls Collection","The Metropolitan Museum of Art","","January 16–September 13, 1992","1992-01-16","1992-09-13","","1"
"502377","http://www.metmuseum.org/art/collection/search/502377","Musical Instruments Gallery Installation, 1971","The Metropolitan Museum of Art","","1971","","","","1"
"470304","http://www.metmuseum.org/art/collection/search/470304","Exposition de la Toison d'Or à Bruges","Maison du Gouverneur","Bruges","1907","","","","1"
"470304","http://www.metmuseum.org/art/collection/search/470304","Exposition de l'art Belge ancien et moderne","Galerie nationale du Jeu de Paume","Paris","1923","","","","2"
"470304","http://www.metmuseum.org/art/collection/search/470304","Masterpieces of Fifty Centuries","The Metropolitan Museum of Art","New York","November 14, 1970–June 1, 1971","1970-11-14","1971-06-01","no. 215","3"
"470304","http://www.metmuseum.org/art/collection/search/470304","From Van Eyck to Bruegel: Early Netherlandish Painting in The Metropolitan Museum of Art","The Metropolitan Museum of Art","New York","September 22, 1998–February 21, 1999","1998-09-22","1999-02-21","no. 2","4"
"470304","http://www.metmuseum.org/art/collection/search/470304","The Master of Flémalle and Rogier van der Weyden","Städel Museum","","November 21, 2008–March 1, 2009","2008-11-21","2009-03-01","","5"
"470600","http://www.metmuseum.org/art/collection/search/470600","The Christmas Story in Mediaeval Art","The Cloisters, The Metropolitan Museum of Art","New York","December 25, 1940–January 12, 1941","1940-12-25","1941-01-12","no catalogue","1"
"470600","http://www.metmuseum.org/art/collection/search/470600","The Adoration of the Magi by Barolo di Fredi: a masterpiece reconstructed","Museum of Biblical Art","New York","June 8, 2012–September 9, 2012","2012-06-08","2012-09-09","","2"
"471904","http://www.metmuseum.org/art/collection/search/471904","Exhibition of Early Italian Art from 1300 to 1550","New Gallery","London","1893","","","","1"
"471904","http://www.metmuseum.org/art/collection/search/471904","Winter Exhibition","Royal Academy of Arts","London","January 6–March 14, 1896","1896-01-06","1896-03-14","","2"
"471904","http://www.metmuseum.org/art/collection/search/471904","Exhibition of Pictures of the School of Siena","Burlington Fine Arts Club","London","1904","","","","3"
"471904","http://www.metmuseum.org/art/collection/search/471904","Loan Exhibition of the Benson Collection of Old Italian Masters","City of Manchester Art Gallery","","April 27–July 30, 1927","1927-04-27","1927-07-30","nos. 104","4"
"471904","http://www.metmuseum.org/art/collection/search/471904","Masterpieces of Art: European Paintings and Sculpture from 1300–1800","World's Fair","New York","1300–1800","","","no. 246","5"
"471904","http://www.metmuseum.org/art/collection/search/471904","Painting and Illumination in Early Renaissance Florence 1300–1450","The Metropolitan Museum of Art","New York","November 17, 1994–February 26, 1995","1994-11-17","1995-02-26","","6"
"471904","http://www.metmuseum.org/art/collection/search/471904","Florence at the Dawn of the Renaissance: Painting and Illumination, 1300–1350","J. Paul Getty Museum","Los Angeles","November 13, 2012–February 10, 2013","2012-11-13","2013-02-10","","7"
"471904","http://www.metmuseum.org/art/collection/search/471904","Florence at the Dawn of the Renaissance: Painting and Illumination, 1300–1350","Art Gallery of Ontario","Toronto","March 16–June 16, 2013","2013-03-16","2013-06-16","","8"
"469913","http://www.metmuseum.org/art/collection/search/469913","Mirror of the Medieval World","The Metropolitan Museum of Art","New York","March 9–June 1, 1999","1999-03-09","1999-06-01","","1"
"503523","http://www.metmuseum.org/art/collection/search/503523","The Philippe de Montebello Years: Curators Celebrate Three Decades of Acquisitions","The Metropolitan Museum of Art","New York","October 24, 2008–February 1, 2009","2008-10-24","2009-02-01","","1"
"503523","http://www.metmuseum.org/art/collection/search/503523","Silk and Bamboo: Music and Art of China","The Metropolitan Museum of Art","New York","September 5, 2009–February 7, 2010","2009-09-05","2010-02-07","","2"
"24953","http://www.metmuseum.org/art/collection/search/24953","Arms and Armor: Notable Acquisitions 1991–2002","The Metropolitan Museum of Art","New York","September 4, 2002–January 18, 2004","2002-09-04","2004-01-18","no. 34","1"
"24953","http://www.metmuseum.org/art/collection/search/24953","The Philippe de Montebello Years: Curators Celebrate Three Decades of Acquisitions","The Metropolitan Museum of Art","New York","October 24, 2008–February 1, 2009","2008-10-24","2009-02-01","","2"
"24953","http://www.metmuseum.org/art/collection/search/24953","Arms and Armor from the Islamic World","The Metropolitan Museum of Art","New York","February 10, 2016–December 3, 2017","2016-02-10","2017-12-03","no. 57","3"
"503045","http://www.metmuseum.org/art/collection/search/503045","The Still Lifes of Evaristo Baschenis: The Music of Silence","The Metropolitan Museum of Art","","November 17, 2000–March 4, 2001","2000-11-17","2001-03-04","","1"
"503385","http://www.metmuseum.org/art/collection/search/503385","Domenico Tiepolo: Drawings, Prints, and Paintings in The Metropolitan Museum of Art","The Metropolitan Museum of Art","New York","January 23–April 27, 1997","1997-01-23","1997-04-27","","1"
"503385","http://www.metmuseum.org/art/collection/search/503385","The Still Lifes of Evaristo Baschenis: The Music of Silence","The Metropolitan Museum of Art","","November 17, 2000–March 4, 2001","2000-11-17","2001-03-04","","2"
"503385","http://www.metmuseum.org/art/collection/search/503385","Guitar Heroes: Legendary Craftsmen from Italy to New York","The Metropolitan Museum of Art","","February 7, 2011 - July 4, 2011","2011-02-07","2011-07-04","","3"
"503385","http://www.metmuseum.org/art/collection/search/503385","Valentin de Boulogne: Beyond Caravaggio","The Metropolitan Museum of Art","New York","October 7, 2016–January 23, 2017","2016-10-07","2017-01-23","","4"
"310542","http://www.metmuseum.org/art/collection/search/310542","Works from the Permanent Collection: Textiles of Ancient Peru/Sculpture of Middle America","Museum of Primitive Art","","May 15, 1963–September 8, 1963","1963-05-15","1963-09-08","","1"
"310542","http://www.metmuseum.org/art/collection/search/310542","Tikal: 1956–1966 Excavations in Maya Guatemala","Museum of Primitive Art","","February 16, 1966–April 17, 1966","1966-02-16","1966-04-17","","2"
"310542","http://www.metmuseum.org/art/collection/search/310542","The World of Primitive Art","Museum of Primitive Art","","July 12, 1966–September 11, 1966","1966-07-12","1966-09-11","","3"
"310542","http://www.metmuseum.org/art/collection/search/310542","Art of Oceania, Africa and the Americas from The Museum of Primitive Art","The Metropolitan Museum of Art","","May 10–August 17, 1969","1969-05-10","1969-08-17","","4"
"310542","http://www.metmuseum.org/art/collection/search/310542","Treasures of Sacred Maya Kings","Los Angeles County Museum of Art","","September 11, 2005–January 8, 2006","2005-09-11","2006-01-08","","5"
"310542","http://www.metmuseum.org/art/collection/search/310542","Treasures of Sacred Maya Kings","Dallas Museum of Art","","February 12–May 7, 2006","2006-02-12","2006-05-07","","6"
"310542","http://www.metmuseum.org/art/collection/search/310542","Treasures of Sacred Maya Kings","The Metropolitan Museum of Art","","June 11–September 10, 2006","2006-06-11","2006-09-10","","7"
"310542","http://www.metmuseum.org/art/collection/search/310542","Lives of the Gods: Divinity in Maya Art","The Metropolitan Museum of Art","","November 14, 2022–April 2, 2023","2022-11-14","2023-04-02","","8"
"310542","http://www.metmuseum.org/art/collection/search/310542","Lives of the Gods: Divinity in Maya Art","Kimbell Art Museum","","May 7–September 3, 2023","2023-05-07","2023-09-03","","9"
"23944","http://www.metmuseum.org/art/collection/search/23944","Loan Exhibition of Mediaeval and Renaissance Arms and Armor from the Metropolitan Museum of Art","Los Angeles County Museum of Art","Los Angeles","January 15–March 18, 1953","1953-01-15","1953-03-18","no. 6","1"
"23944","http://www.metmuseum.org/art/collection/search/23944","Loan Exhibition of Mediaeval and Renaissance Arms and Armor from the Metropolitan Museum of Art","California Palace of the Legion of Honor, Fine Arts Museums of San Francisco","San Francisco","April 18–June 7, 1953","1953-04-18","1953-06-07","no. 6","2"
"23944","http://www.metmuseum.org/art/collection/search/23944","Loan Exhibition of Mediaeval and Renaissance Arms and Armor from the Metropolitan Museum of Art","Department of Fine Arts, Carnegie Institute","Pittsburgh","1953","","","no. 6","3"
"23944","http://www.metmuseum.org/art/collection/search/23944","Gothic and Renaissance Art in Nuremberg, 1300–1550","The Metropolitan Museum of Art","New York","April 8–June 22, 1986","1986-04-08","1986-06-22","no. 276","4"
"23944","http://www.metmuseum.org/art/collection/search/23944","Nürnberg 1300–1550: Kunst der Gotik und Renaissance","Germanisches Nationalmuseum","Nuremberg","July 24–September 28, 1986","1986-07-24","1986-09-28","no. 276","5"
"23944","http://www.metmuseum.org/art/collection/search/23944","Als Frieden Möglich War: 450 Jahre Augsburger Religionsfrieden","Kunstsammlungen und Museen Augsburg","Augsburg","June 16–October 16, 2005","2005-06-16","2005-10-16","no. II","6"
"314034","http://www.metmuseum.org/art/collection/search/314034","The Buli Master: An African Artist of the 19th Century","The Metropolitan Museum of Art","","February 14–July 13, 1980","1980-02-14","1980-07-13","","1"
"503528","http://www.metmuseum.org/art/collection/search/503528","","Title: Bassoon
Maker: Dominique Antony Porthaux (French, ca","","1751–1839","","","","1"
"503443","http://www.metmuseum.org/art/collection/search/503443","Made for Music","Sotheby's, London","","August 11, 1986–August 22, 1986","1986-08-11","1986-08-22","","1"
"501767","http://www.metmuseum.org/art/collection/search/501767","","Title: Double Virginal
Maker: Lodewijck Grouwels (Flemish, active Middelburg, Zeeland, The Netherlands","","1593–1600","","","","1"
"448938","http://www.metmuseum.org/art/collection/search/448938","International Exhibition of Persian Art","Burlington House","London","January 7, 1931–February 28, 1931","1931-01-07","1931-02-28","no. 440","1"
"448938","http://www.metmuseum.org/art/collection/search/448938","Masterpieces of Fifty Centuries","The Metropolitan Museum of Art","New York","November 14, 1970–June 1, 1971","1970-11-14","1971-06-01","no. 156","2"
"448938","http://www.metmuseum.org/art/collection/search/448938","Riding Across Central Asia: Images of the Mongolian Horse in Islamic Art","The Hagop Kevorkian Special Exhibitions Gallery, New York","New York","April 26–November 12, 2000","2000-04-26","2000-11-12","no catalogue","3"
"448938","http://www.metmuseum.org/art/collection/search/448938","The Legacy of Genghis Khan: Courtly Art and Culture in Western Asia 1256-1353","The Metropolitan Museum of Art","New York","October 28, 2002–February 16, 2003","2002-10-28","2003-02-16","no. 42","4"
"448938","http://www.metmuseum.org/art/collection/search/448938","The Legacy of Genghis Khan: Courtly Art and Culture in Western Asia 1256-1353","Los Angeles County Museum of Art","","April 13–July 27, 2003","2003-04-13","2003-07-27","no. 42","5"
"504497","http://www.metmuseum.org/art/collection/search/504497","The Philippe de Montebello Years: Curators Celebrate Three Decades of Acquisitions","The Metropolitan Museum of Art","New York","October 24, 2008–February 1, 2009","2008-10-24","2009-02-01","","1"
"447071","http://www.metmuseum.org/art/collection/search/447071","Islamic Miniature Painting","The Metropolitan Museum of Art","New York","October 10, 1933–January 7, 1934","1933-10-10","1934-01-07","no catalogue","1"
"447071","http://www.metmuseum.org/art/collection/search/447071","Illustrated Poetry and Epic Images: Persian Painting of the 1330s and 1340s","The Hagop Kevorkian Special Exhibitions Gallery, The Metropolitan Museum of Art","New York","February 1–May 1, 1994","1994-02-01","1994-05-01","no. 5 a","2"
"447071","http://www.metmuseum.org/art/collection/search/447071","Following the Stars: Images of the Zodiac in Islamic Art","The Hagop Kevorkian Special Exhibitions Gallery, The Metropolitan Museum of Art","New York","February 4–August 31, 1997","1997-02-04","1997-08-31","no. 11","3"
"35650","http://www.metmuseum.org/art/collection/search/35650","","Wool (","Title: Congressional Presentation Sword and Scabbard of Major General John E","1784–1869","","","","1"
"24865","http://www.metmuseum.org/art/collection/search/24865","Firearms of Princes","Saint Louis Art Museum","Saint Louis","1939","","","","1"
"24865","http://www.metmuseum.org/art/collection/search/24865","Cabinet d'Armes of Louis XIII","The Metropolitan Museum of Art","New York","1973","","","no. F","2"
"24865","http://www.metmuseum.org/art/collection/search/24865","Patterns of Collecting: Selected Acquisitions, 1965–1975","The Metropolitan Museum of Art","New York","December 6, 1975–March 23, 1976","1975-12-06","1976-03-23","","3"
"24865","http://www.metmuseum.org/art/collection/search/24865","Un Temps d'Exuberance: Les Arts Décoratifs sous Louis XIII et Anne d'Autriche (1610–1661)","Réunion des Musées Nationaux - Grand Palais","Paris","April 9–July 8, 2002","2002-04-09","2002-07-08","no. 215","4"
"503502","http://www.metmuseum.org/art/collection/search/503502","Free Reed Instruments of the Nineteenth Century","The Metropolitan Museum of Art","","2005-2012","","","","1"
"455059","http://www.metmuseum.org/art/collection/search/455059","Timur and the Princely Vision. Persian Art and Culture in the Fifteenth Century","Arthur M","Washington","April 14, 1989–July 6, 1989","1989-04-14","1989-07-06","no. 62","1"
"455059","http://www.metmuseum.org/art/collection/search/455059","Timur and the Princely Vision. Persian Art and Culture in the Fifteenth Century","Los Angeles County Museum of Art","Los Angeles","August 13, 1989–November 5, 1989","1989-08-13","1989-11-05","no. 62","2"
"455059","http://www.metmuseum.org/art/collection/search/455059","The Perfect Page: The Art of Embellishment in Islamic Book Design","The Hagop Kevorkian Special Exhibitions Gallery, The Metropolitan Museum of Art","New York","May 17–August 18, 1991","1991-05-17","1991-08-18","no catalogue","3"
"455059","http://www.metmuseum.org/art/collection/search/455059","Princely Patrons: Three Royal Manuscripts of the Timurid Dynasty","The Metropolitan Museum of Art","The Hagop Kevorkian Special Exhibitions Gallery, New York","March 4–June 4, 1995","1995-03-04","1995-06-04","no catalogue","4"
"503546","http://www.metmuseum.org/art/collection/search/503546","","Title: Cornet à Pistons in B-flat
Maker: Courtois frères
Date:","","1833","","","","1"
"503615","http://www.metmuseum.org/art/collection/search/503615","","Title: Bassoon
Maker: Giosue Esposito (Naples, active late 19th century)
Date:","","1881","","","","1"
"451042","http://www.metmuseum.org/art/collection/search/451042","","H. 33 1/2 in","Title: Incense Burner of Amir Saif al-Dunya wa’l-Din ibn Muhammad al-Mawardi
Maker: Ja`far ibn Muhammad ibn `Ali
Date: dated 577 AH/1181–82 CE
Geography: Found Iran, Ruins of Kariz, near Taybad, Khorasan
Medium: Bronze; cast, engraved, chased, pierced
Dimensions: OveralL","1951","","","","1"
"503613","http://www.metmuseum.org/art/collection/search/503613","A Musical Offering: An Exhibition Celebrating the Centennial of the Collection of Musical Instruments","The Metropolitan Museum of Art","","March 10–July 30, 1989","1989-03-10","1989-07-30","","1"
